date_saved,county,county_population,partially_covered,rate_partially_covered,fully_covered,rate_fully_covered,date_updated
2021-03-15,Adams,103009,7087,6880,5887,5715,2021-03-12
2021-03-15,Allegheny,1216045,172169,14158.1,110014,9046.9,2021-03-12
2021-03-15,Armstrong,64735,7392,11418.9,5838,9018.3,2021-03-12
2021-03-15,Beaver,163929,10650,6496.7,8571,5228.5,2021-03-12
2021-03-15,Bedford,47888,2114,4414.5,3150,6577.8,2021-03-12
2021-03-15,Berks,421164,27633,6561.1,30236,7179.2,2021-03-12
2021-03-15,Blair,121829,7246,5947.7,11903,9770.3,2021-03-12
2021-03-15,Bradford,60323,2780,4608.5,5819,9646.4,2021-03-12
2021-03-15,Bucks,628270,46020,7324.9,48446,7711,2021-03-12
2021-03-15,Butler,187853,21831,11621.3,24067,12811.6,2021-03-12
2021-03-15,Cambria,130192,11159,8571.2,14810,11375.5,2021-03-12
2021-03-15,Cameron,4447,675,15178.8,739,16617.9,2021-03-12
2021-03-15,Carbon,64182,3706,5774.2,7171,11172.9,2021-03-12
2021-03-15,Centre,162385,13188,8121.4,18354,11302.8,2021-03-12
2021-03-15,Chester,524989,49297,9390.1,43315,8250.6,2021-03-12
2021-03-15,Clarion,38438,3136,8158.6,5200,13528.3,2021-03-12
2021-03-15,Clearfield,79255,6172,7787.5,9047,11415.1,2021-03-12
2021-03-15,Clinton,38632,1979,5122.7,3795,9823.5,2021-03-12
2021-03-15,Columbia,64964,5130,7896.7,9479,14591.2,2021-03-12
2021-03-15,Crawford,84629,6613,7814.1,11828,13976.3,2021-03-12
2021-03-15,Cumberland,253370,20106,7935.4,16925,6680,2021-03-12
2021-03-15,Dauphin,278299,18843,6770.8,15962,5735.6,2021-03-12
2021-03-15,Delaware,566747,44885,7919.8,47465,8375,2021-03-12
2021-03-15,Elk,29910,3676,12290.2,5602,18729.5,2021-03-12
2021-03-15,Erie,269728,30579,11337,23471,8701.7,2021-03-12
2021-03-15,Fayette,129274,13492,10436.7,11604,8976.3,2021-03-12
2021-03-15,Forest,7247,510,7037.4,967,13343.5,2021-03-12
2021-03-15,Franklin,155027,8836,5699.7,12657,8164.4,2021-03-12
2021-03-15,Fulton,14530,488,3358.6,583,4012.4,2021-03-12
2021-03-15,Greene,36233,2274,6276,2967,8188.7,2021-03-12
2021-03-15,Huntingdon,45144,2833,6275.5,4714,10442.1,2021-03-12
2021-03-15,Indiana,84073,5124,6094.7,6901,8208.3,2021-03-12
2021-03-15,Jefferson,43425,4871,11217,6172,14213,2021-03-12
2021-03-15,Juniata,24763,1288,5201.3,2427,9800.9,2021-03-12
2021-03-15,Lackawanna,209674,21196,10109,32510,15505,2021-03-12
2021-03-15,Lancaster,545724,42222,7736.9,41006,7514.1,2021-03-12
2021-03-15,Lawrence,85512,6224,7278.5,8493,9931.9,2021-03-12
2021-03-15,Lebanon,141793,9206,6492.6,10729,7566.7,2021-03-12
2021-03-15,Lehigh,369318,33911,9182.1,45315,12269.9,2021-03-12
2021-03-15,Luzerne,317417,25920,8165.9,41384,13037.7,2021-03-12
2021-03-15,Lycoming,113299,9227,8143.9,11740,10362,2021-03-12
2021-03-15,Mckean,40625,3428,8438.2,2595,6387.7,2021-03-12
